path,current Git state,classification,canonical owner,referenced by,include in Git yes/no,reason,secret scan result,duplicate check,intended commit group
backend/alembic/versions/cea65f170298_initial_database_schema.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/8b2f4d1c6a10_execution_core.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:f34105a75957d0ad,06-alembic-migrations
backend/alembic/versions/d1e2f3a4b5c6_product_content_invariants.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/e2f3a4b5c6d7_execution_job_leases.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:741fd3fbeaf519d7,06-alembic-migrations
backend/alembic/versions/d4a9c8e7f621_product_core_foundation.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/eb5f2829e72e_add_products_table.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:c43844348a9cb6e8,06-alembic-migrations
backend/alembic/versions/d5e6f7a8b9c0_product_attribute_system.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/e6f7a8b9c0d1_attribute_platform_completion.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:87c742306f3375e4,06-alembic-migrations
backend/alembic/versions/e2f3a4b5c6d7_execution_job_leases.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/f3a4b5c6d7e8_execution_job_query_indexes.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:d0fba60bba59d704,06-alembic-migrations
backend/alembic/versions/e6f7a8b9c0d1_attribute_platform_completion.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/f7a8b9c0d1e2_product_content_platform.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:0b5fe3b23821c700,06-alembic-migrations
backend/alembic/versions/eb5f2829e72e_add_products_table.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/f1a2b3c4d5e6_inventory_foundation.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:ddfae56006a4b30b,06-alembic-migrations
backend/alembic/versions/f1a2b3c4d5e6_inventory_foundation.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/b2c3d4e5f6a7_inventory_movements.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:90c6f3826b1dbeb0,06-alembic-migrations
backend/alembic/versions/f3a4b5c6d7e8_execution_job_query_indexes.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/f4a5b6c7d8e9_fix_execution_claim_priority_index.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:35eb370866997d4b,06-alembic-migrations
backend/alembic/versions/f4a5b6c7d8e9_fix_execution_claim_priority_index.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/a5b6c7d8e9f0_normalize_attribute_check_constraint_names.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:879f46c96c80ed2d,06-alembic-migrations
backend/alembic/versions/f7a8b9c0d1e2_product_content_platform.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/a8b9c0d1e2f3_product_content_completion.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:7b5aa93d55e35bd9,06-alembic-migrations
backend/app/__init__.py,tracked: clean,A,backend application: application,Python package discovery and Docker application image,yes,production application source,CLEAN,INTENTIONAL_EMPTY_PACKAGE_MARKER,01-core-security-pagination-and-observability
backend/app/api/__init__.py,tracked: clean,A,backend application: __init__.py,Python package discovery and Docker application image,yes,production application source,CLEAN,INTENTIONAL_EMPTY_PACKAGE_MARKER,01-core-security-pagination-and-observability
backend/app/api/router.py,tracked: clean,A,backend application: router.py,backend/app/main.py; backend/tests/test_module_boundaries.py,yes,production application source,CLEAN,UNIQUE sha256:634e3a2d69dd0224,01-core-security-pagination-and-observability
backend/app/api/routes/__init__.py,tracked: clean,A,backend application: routes,Python package discovery and Docker application image,yes,production application source,CLEAN,INTENTIONAL_EMPTY_PACKAGE_MARKER,01-core-security-pagination-and-observability
backend/app/api/routes/health.py,tracked: clean,A,backend application: routes,backend/app/api/router.py,yes,production application source,CLEAN,UNIQUE sha256:7f0d39bd288a25fc,01-core-security-pagination-and-observability
backend/app/core/__init__.py,tracked: clean,A,backend application: __init__.py,Python package discovery and Docker application image,yes,production application source,CLEAN,INTENTIONAL_EMPTY_PACKAGE_MARKER,01-core-security-pagination-and-observability
backend/app/core/api_pagination.py,tracked: clean,A,backend application: api_pagination.py,backend/app/modules/catalog/routers/product_attributes.py; backend/app/modules/product_content/routers/documents.py; backend/app/modules/product_content/routers/landing_pages.py; backend/app/modules/product_content/routers/library.py; backend/app/modules/product_content/routers/product_content.py; backend/app/modules/product_content/routers/prompts.py; backend/app/modules/product_content/routers/scoring.py; backend/app/modules/product_content/routers/seo.py; backend/app/modules/product_content/routers/videos.py,yes,production application source,CLEAN,UNIQUE sha256:0d75da1fdea10a6d,01-core-security-pagination-and-observability
backend/app/core/base64url.py,tracked: clean,A,backend application: base64url.py,backend/app/core/pagination.py; backend/app/core/security.py,yes,production application source,CLEAN,UNIQUE sha256:9c82a676966d1edf,01-core-security-pagination-and-observability
backend/app/core/config.py,tracked: clean,A,backend application: config.py,backend/alembic/env.py; backend/app/api/routes/health.py; backend/app/core/logging.py; backend/app/core/pagination.py; backend/app/core/security.py; backend/app/db/engine.py; backend/app/main.py; backend/app/modules/product_content/completion.py; backend/tests/test_rate_limit_redis.py; backend/tests/test_security_completion.py; backend/tests/test_security_foundation.py,yes,production application source,SYNTHETIC_TEST_LITERAL_ONLY:literal-credential,UNIQUE sha256:d03a40cbdd1e9eb1,01-core-security-pagination-and-observability
backend/app/core/errors.py,tracked: clean,A,backend application: errors.py,backend/app/core/middleware.py; backend/app/core/observability.py; backend/app/core/rate_limit.py; backend/app/main.py; backend/tests/test_rate_limit_redis.py; backend/tests/test_security_observability.py,yes,production application source,CLEAN,UNIQUE sha256:20f75a78132b25ce,01-core-security-pagination-and-observability
backend/app/core/keyset_pagination.py,tracked: clean,A,backend application: keyset_pagination.py,backend/app/core/api_pagination.py; backend/app/modules/catalog/routers/products.py; backend/app/modules/execution/router.py; backend/app/modules/inventory/router.py; backend/tests/test_remaining_list_pagination.py,yes,production application source,CLEAN,UNIQUE sha256:ef256f06de983ece,01-core-security-pagination-and-observability
backend/app/core/limits.py,tracked: clean,A,backend application: limits.py,backend/app/core/pagination.py; backend/app/modules/catalog/router.py; backend/app/modules/catalog/routers/attribute_platform.py; backend/app/modules/catalog/routers/attribute_types.py; backend/app/modules/catalog/routers/product_attributes.py; backend/app/modules/catalog/routers/products.py; backend/app/modules/catalog/schemas/attribute_platform.py; backend/app/modules/catalog/schemas/attribute_types.py; backend/app/modules/catalog/schemas/attributes.py; backend/app/modules/catalog/schemas/categories.py; backend/app/modules/catalog/schemas/product_attributes.py; backend/app/modules/execution/router.py; backend/app/modules/execution/schemas.py; backend/app/modules/inventory/inventory_service_support.py; backend/app/modules/inventory/router.py; backend/app/modules/inventory/schemas.py; backend/app/modules/product_content/routers/content_types.py; backend/app/modules/product_content/routers/documents.py; backend/app/modules/product_content/routers/landing_pages.py; backend/app/modules/product_content/routers/languages.py; backend/app/modules/product_content/routers/library.py; backend/app/modules/product_content/routers/product_content.py; backend/app/modules/product_content/routers/prompts.py; backend/app/modules/product_content/routers/scoring.py; backend/app/modules/product_content/routers/search.py; backend/app/modules/product_content/routers/seo.py; backend/app/modules/product_content/routers/templates.py; backend/app/modules/product_content/routers/videos.py; backend/app/modules/product_content/schemas.py; backend/tests/test_inventory_transactions.py; backend/tests/test_request_boundary_completion.py,yes,production application source,CLEAN,UNIQUE sha256:af46c1ea567fe6f8,01-core-security-pagination-and-observability
backend/app/core/logging.py,tracked: clean,A,backend application: logging.py,backend/app/main.py,yes,production application source,CLEAN,UNIQUE sha256:1ab5d645a7ee8f34,01-core-security-pagination-and-observability
backend/app/core/middleware.py,tracked: clean,A,backend application: middleware.py,backend/app/main.py,yes,production application source,CLEAN,UNIQUE sha256:029e1b030769cfb8,01-core-security-pagination-and-observability
backend/app/core/observability.py,tracked: clean,A,backend application: observability.py,backend/app/core/rate_limit.py; backend/app/main.py; backend/tests/test_rate_limit_redis.py; backend/tests/test_security_observability.py,yes,production application source,CLEAN,UNIQUE sha256:3ec507ee877fce67,01-core-security-pagination-and-observability
backend/app/core/pagination.py,tracked: clean,A,backend application: pagination.py,backend/app/core/api_pagination.py; backend/app/core/keyset_pagination.py; backend/app/modules/catalog/attribute_query_service.py; backend/app/modules/catalog/routers/products.py; backend/app/modules/execution/router.py; backend/app/modules/inventory/router.py; backend/tests/test_keyset_list_pagination.py; backend/tests/test_remaining_list_pagination.py; backend/tests/test_request_boundary_completion.py,yes,production application source,CLEAN,UNIQUE sha256:020579363efe1808,01-core-security-pagination-and-observability
backend/app/core/rate_limit.py,tracked: clean,A,backend application: rate_limit.py,backend/app/main.py; backend/tests/test_rate_limit_redis.py; backend/tests/test_security_observability.py,yes,production application source,CLEAN,UNIQUE sha256:11a76768d39ab13a,01-core-security-pagination-and-observability
backend/app/core/security.py,tracked: clean,A,backend application: security.py,backend/app/api/router.py; backend/app/core/observability.py; backend/app/core/rate_limit.py; backend/app/main.py; backend/app/modules/catalog/product_attribute_value_service.py; backend/app/modules/execution/repository.py; backend/app/modules/inventory/movement_service.py; backend/app/modules/product_content/revision_service.py; backend/app/modules/product_content/routers/preview.py; backend/tests/test_attribute_platform_completion.py; backend/tests/test_catalog_crud.py; backend/tests/test_execution_api.py; backend/tests/test_inventory_concurrency_matrix.py; backend/tests/test_inventory_crud.py; backend/tests/test_inventory_movements.py; backend/tests/test_inventory_reservations.py; backend/tests/test_keyset_list_pagination.py; backend/tests/test_module_boundaries.py; backend/tests/test_optimistic_concurrency.py; backend/tests/test_product_attribute_system.py; backend/tests/test_product_content_completion.py; backend/tests/test_product_content_platform.py; backend/tests/test_product_content_quality.py; backend/tests/test_rate_limit_redis.py; backend/tests/test_resolved_attribute_pagination.py; backend/tests/test_security_completion.py; backend/tests/test_security_foundation.py; backend/tests/test_security_observability.py,yes,production application source,CLEAN,UNIQUE sha256:7577f044e02feb1e,01-core-security-pagination-and-observability
backend/app/db/__init__.py,tracked: clean,A,backend application: __init__.py,backend/alembic/env.py,yes,production application source,CLEAN,UNIQUE sha256:a574e3bcd3016263,01-core-security-pagination-and-observability
backend/app/db/base.py,tracked: clean,A,backend application: base.py,backend/app/db/__init__.py; backend/app/modules/catalog/attribute_models.py; backend/app/modules/catalog/models.py; backend/app/modules/catalog/platform_models.py; backend/app/modules/execution/models.py; backend/app/modules/inventory/models.py; backend/app/modules/product_content/models.py,yes,production application source,CLEAN,UNIQUE sha256:d4d10f200c62d540,01-core-security-pagination-and-observability
backend/app/db/engine.py,tracked: clean,A,backend application: engine.py,backend/app/db/__init__.py; backend/app/db/session.py,yes,production application source,CLEAN,UNIQUE sha256:41974049d74123ac,01-core-security-pagination-and-observability
backend/app/db/mixins.py,tracked: clean,A,backend application: mixins.py,backend/app/db/__init__.py; backend/app/modules/catalog/attribute_models.py; backend/app/modules/catalog/models.py; backend/app/modules/catalog/platform_models.py; backend/app/modules/execution/models.py; backend/app/modules/inventory/models.py; backend/app/modules/product_content/models.py,yes,production application source,CLEAN,UNIQUE sha256:938cfddfbb621886,01-core-security-pagination-and-observability
backend/app/db/session.py,tracked: clean,A,backend application: session.py,backend/app/db/__init__.py; backend/app/modules/catalog/router.py; backend/app/modules/catalog/routers/attribute_platform.py; backend/app/modules/catalog/routers/attribute_types.py; backend/app/modules/catalog/routers/product_attributes.py; backend/app/modules/catalog/routers/products.py; backend/app/modules/catalog/seed_attributes.py; backend/app/modules/execution/router.py; backend/app/modules/execution/worker.py; backend/app/modules/inventory/router.py; backend/app/modules/product_content/routers/content_types.py; backend/app/modules/product_content/routers/documents.py; backend/app/modules/product_content/routers/landing_pages.py; backend/app/modules/product_content/routers/languages.py; backend/app/modules/product_content/routers/library.py; backend/app/modules/product_content/routers/preview.py; backend/app/modules/product_content/routers/product_content.py; backend/app/modules/product_content/routers/prompts.py; backend/app/modules/product_content/routers/scoring.py; backend/app/modules/product_content/routers/search.py; backend/app/modules/product_content/routers/seo.py; backend/app/modules/product_content/routers/templates.py; backend/app/modules/product_content/routers/usage.py; backend/app/modules/product_content/routers/videos.py; backend/tests/test_optimistic_concurrency.py,yes,production application source,CLEAN,UNIQUE sha256:74d3158c616a2f8a,01-core-security-pagination-and-observability
backend/app/main.py,tracked: clean,A,backend application: application,backend/scripts/generate_contract_reports.py; backend/tests/test_api_contract_matrix.py; backend/tests/test_execution_api.py; backend/tests/test_health.py; backend/tests/test_module_boundaries.py; backend/tests/test_product_content_openapi_contract.py; backend/tests/test_remaining_list_pagination.py; backend/tests/test_request_boundary_completion.py; backend/tests/test_security_foundation.py; backend/tests/test_security_observability.py,yes,production application source,CLEAN,UNIQUE sha256:aaa8ad3ff0a135e6,01-core-security-pagination-and-observability
backend/app/modules/__init__.py,tracked: clean,A,backend application: __init__.py,Python package discovery and Docker application image,yes,production application source,CLEAN,INTENTIONAL_EMPTY_PACKAGE_MARKER,01-core-security-pagination-and-observability
backend/app/modules/catalog/__init__.py,tracked: clean,A,backend application: catalog,backend/alembic/env.py; backend/tests/test_product_attribute_system.py,yes,production application source,CLEAN,UNIQUE sha256:9bf23bcac55963b8,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_definition_repository.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_repository.py; backend/tests/test_product_attribute_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:ecc9db205125e089,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_definition_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_service.py; backend/tests/test_product_attribute_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:b044cf744be79776,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_dependency_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/platform_service.py; backend/tests/test_attribute_platform_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:2d777d7621d933c2,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_family_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/platform_service.py; backend/tests/test_attribute_platform_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:70218166889426e0,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_formula_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/platform_service.py; backend/tests/test_attribute_platform_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:468ee4d4ce2be824,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_models.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_definition_repository.py; backend/app/modules/catalog/attribute_definition_service.py; backend/app/modules/catalog/attribute_option_repository.py; backend/app/modules/catalog/attribute_option_service.py; backend/app/modules/catalog/attribute_orchestration.py; backend/app/modules/catalog/attribute_query_service.py; backend/app/modules/catalog/attribute_repository_support.py; backend/app/modules/catalog/attribute_service_support.py; backend/app/modules/catalog/attribute_usage_service.py; backend/app/modules/catalog/attribute_validation.py; backend/app/modules/catalog/attribute_value_mutation_service.py; backend/app/modules/catalog/category_attribute_service.py; backend/app/modules/catalog/models.py; backend/app/modules/catalog/product_attribute_value_repository.py; backend/app/modules/catalog/product_attribute_value_service.py; backend/app/modules/catalog/routers/product_attributes.py; backend/app/modules/product_content/scoring_repository.py; backend/tests/test_attribute_concurrency_matrix.py; backend/tests/test_product_attribute_system.py,yes,production application source,CLEAN,UNIQUE sha256:e5f8373bc1fa7141,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_option_repository.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_repository.py; backend/tests/test_product_attribute_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:2b70a30c78efbd36,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_option_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_service.py; backend/tests/test_product_attribute_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:4e405e5de50a1c8c,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_orchestration.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/routers/product_attributes.py; backend/tests/test_attribute_concurrency_matrix.py,yes,production application source,CLEAN,UNIQUE sha256:3bf63f1b0e72f993,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_platform_repository.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_repository.py; backend/tests/test_product_attribute_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:7d7068fc30381566,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_prompt_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/platform_service.py; backend/tests/test_attribute_platform_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:25d458b24844cb36,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_query_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/product_attribute_value_service.py; backend/scripts/benchmark_resolved_attributes.py,yes,production application source,CLEAN,UNIQUE sha256:6150ae9234e3ae92,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_repository.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_query_service.py; backend/app/modules/catalog/attribute_service_support.py; backend/app/modules/catalog/platform_service_support.py; backend/app/modules/catalog/routers/product_attributes.py; backend/tests/test_product_attribute_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:02b8f4304cc1ff01,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_repository_support.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_definition_repository.py; backend/app/modules/catalog/attribute_option_repository.py; backend/app/modules/catalog/attribute_platform_repository.py; backend/app/modules/catalog/category_attribute_repository.py; backend/app/modules/catalog/product_attribute_value_repository.py,yes,production application source,CLEAN,UNIQUE sha256:fa9a857a50a4c82f,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_orchestration.py; backend/app/modules/catalog/platform_service_support.py; backend/app/modules/catalog/routers/product_attributes.py; backend/app/modules/catalog/seed_attributes.py; backend/tests/test_attribute_concurrency_matrix.py; backend/tests/test_product_attribute_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:427643ea85cb8417,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_service_support.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_definition_service.py; backend/app/modules/catalog/attribute_option_service.py; backend/app/modules/catalog/category_attribute_service.py; backend/app/modules/catalog/product_attribute_value_service.py,yes,production application source,CLEAN,UNIQUE sha256:fb61b8d6f82839e8,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_template_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/platform_service.py; backend/tests/test_attribute_platform_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:690ff7f5bd94185e,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_usage_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/platform_service.py; backend/tests/test_attribute_platform_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:5f48987a9966331c,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_validation.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_service_support.py; backend/tests/test_product_attribute_system.py,yes,production application source,CLEAN,UNIQUE sha256:5cca8d4cc96401f3,02-catalog-and-product-attributes
backend/app/modules/catalog/attribute_value_mutation_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/platform_service.py; backend/tests/test_attribute_mutation_critical_paths.py; backend/tests/test_attribute_platform_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:aef0968d667352cc,02-catalog-and-product-attributes
backend/app/modules/catalog/category_attribute_repository.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_repository.py; backend/tests/test_product_attribute_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:df31e0651a3c71c5,02-catalog-and-product-attributes
backend/app/modules/catalog/category_attribute_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_service.py; backend/tests/test_product_attribute_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:4069b8c9562325fe,02-catalog-and-product-attributes
backend/app/modules/catalog/category_repository.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/repository.py; backend/tests/test_catalog_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:08c81ce237e9a4f2,02-catalog-and-product-attributes
backend/app/modules/catalog/category_service.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/service.py; backend/tests/test_catalog_critical_paths.py; backend/tests/test_catalog_decomposition.py,yes,production application source,CLEAN,UNIQUE sha256:5e75f3a5b473a8e2,02-catalog-and-product-attributes
backend/app/modules/catalog/enums.py,tracked: clean,A,backend application: catalog,backend/app/modules/catalog/attribute_definition_service.py; backend/app/modules/catalog/attribute_query_service.py; backend/app/modules/catalog/attribute_validation.py; backend/app/modules/catalog/attribute_value_mutation_service.py; backend/app/modules/catalog/legacy_attribute_service.py; backend/app/modules/catalog/models.py; backend/app/modules/catalog/product_attribute_value_service.py; backend/app/modules/catalog/schemas/attribute_types.py; backend/app/modules/catalog/schemas/attributes.py; backend/app/modules/catalog/schemas/product_attributes.py; backend/app/modules/catalog/seed_attributes.py; backend/tests/test_attribute_concurrency_matrix.py; backend/tests/test_attribute_mutation_critical_paths.py; backend/tests/test_catalog_unit.py,yes,production application source,CLEAN,UNIQUE sha256:ea6bc54d26467b7f,02-catalog-and-product-attributes
